timestamp,message,Client_IP_Address,Server_IP_Address,User_Identifier,authentication,Date,Time,Request_Type,Request_list,Status_code,Size_of_Response,referrer,user_agent
1747626413839,"49.48.122.119 10.60.1.74 - - [19/May/2025:10:46:53 +0700] ""GET /themes/custom/promise/images/next1.png HTTP/1.1"" 304 - ""-"" ""Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/25.0 Chrome/121.0.0.0 Mobile Safari/537.36""151",49.48.122.119,10.60.1.74,-,-,2025-05-19,10:46:53,GET,"""GET /themes/custom/promise/images/next1.png HTTP/1.1""",304,-,"""-""","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/25.0 Chrome/121.0.0.0 Mobile Safari/537.36"
1747626413839,"1.46.142.209 10.60.1.74 - - [19/May/2025:10:46:53 +0700] ""POST /api/mobile/v1/version HTTP/1.1"" 200 323 ""-"" ""Dart/3.1 (dart:io)""2124",1.46.142.209,10.60.1.74,-,-,2025-05-19,10:46:53,POST,"""POST /api/mobile/v1/version HTTP/1.1""",200,323,"""-""",Dart/3.1 (dart:io)
1747626413839,"1.1.190.227 10.60.1.13 - - [19/May/2025:10:46:53 +0700] ""GET /application.html?utm_source=IHDM&utm_medium=IHconv&utm_campaign=IH_DMLO&utm_term=LO&utm_content=Video&gbraid=0AAAAAqUbKnMUqZRqNYvdH06G4x-HY2alc&wbraid=ClYKCQjwiqbBBhDuARJFADHii4pXk5XAeNUjtGySZagZqsFPK4pQtBQZdwGCN-c7LRIXau71ChYNT95FbxZFXpA1jRISmVvixZHoDcm9fJrLoybaGgKkkw HTTP/1.1"" 200 48679 ""-"" ""Mozilla/5.0 (iPhone; CPU iPhone OS 18_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148""33878",1.1.190.227,10.60.1.13,-,-,2025-05-19,10:46:53,GET,"""GET /application.html?utm_source=IHDM&utm_medium=IHconv&utm_campaign=IH_DMLO&utm_term=LO&utm_content=Video&gbraid=0AAAAAqUbKnMUqZRqNYvdH06G4x-HY2alc&wbraid=ClYKCQjwiqbBBhDuARJFADHii4pXk5XAeNUjtGySZagZqsFPK4pQtBQZdwGCN-c7LRIXau71ChYNT95FbxZFXpA1jRISmVvixZHoDcm9fJrLoybaGgKkkw HTTP/1.1""",200,48679,"""-""","Mozilla/5.0 (iPhone; CPU iPhone OS 18_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
1747626413839,"147.50.18.226 10.60.1.13 - - [19/May/2025:10:46:53 +0700] ""GET /themes/custom/promise/images/logo-sp.png HTTP/1.1"" 200 9236 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36""223",147.50.18.226,10.60.1.13,-,-,2025-05-19,10:46:53,GET,"""GET /themes/custom/promise/images/logo-sp.png HTTP/1.1""",200,9236,"""-""","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"
1747626413839,"49.48.122.119 10.60.1.74 - - [19/May/2025:10:46:53 +0700] ""GET /about.html HTTP/1.1"" 200 8649 ""-"" ""Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/25.0 Chrome/121.0.0.0 Mobile Safari/537.36""1266",49.48.122.119,10.60.1.74,-,-,2025-05-19,10:46:53,GET,"""GET /about.html HTTP/1.1""",200,8649,"""-""","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/25.0 Chrome/121.0.0.0 Mobile Safari/537.36"
1747626413839,"49.230.59.223 10.60.1.13 - - [19/May/2025:10:46:53 +0700] ""GET /themes/custom/promise/images/x.png HTTP/1.1"" 200 91409 ""-"" ""Mozilla/5.0 (iPhone; CPU iPhone OS 18_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Mobile/15E148 Safari/604.1""241",49.230.59.223,10.60.1.13,-,-,2025-05-19,10:46:53,GET,"""GET /themes/custom/promise/images/x.png HTTP/1.1""",200,91409,"""-""","Mozilla/5.0 (iPhone; CPU iPhone OS 18_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.4 Mobile/15E148 Safari/604.1"
1747626413839,"1.1.190.227 10.60.1.13 - - [19/May/2025:10:46:53 +0700] ""GET /promiseapp/js/meta.js;jsessionid=DA93E585A14434992BD8FF8917978BDF HTTP/1.1"" 200 661 ""-"" ""Mozilla/5.0 (iPhone; CPU iPhone OS 18_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148""1056",1.1.190.227,10.60.1.13,-,-,2025-05-19,10:46:53,GET,"""GET /promiseapp/js/meta.js;jsessionid=DA93E585A14434992BD8FF8917978BDF HTTP/1.1""",200,661,"""-""","Mozilla/5.0 (iPhone; CPU iPhone OS 18_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
1747626413839,"1.1.190.227 10.60.1.13 - - [19/May/2025:10:46:53 +0700] ""GET /promiseapp/css/application1.css;jsessionid=DA93E585A14434992BD8FF8917978BDF?20230710 HTTP/1.1"" 200 5080 ""-"" ""Mozilla/5.0 (iPhone; CPU iPhone OS 18_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148""1627",1.1.190.227,10.60.1.13,-,-,2025-05-19,10:46:53,GET,"""GET /promiseapp/css/application1.css;jsessionid=DA93E585A14434992BD8FF8917978BDF?20230710 HTTP/1.1""",200,5080,"""-""","Mozilla/5.0 (iPhone; CPU iPhone OS 18_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
1747626413839,"1.1.190.227 10.60.1.13 - - [19/May/2025:10:46:53 +0700] ""GET /core/assets/vendor/modernizr/modernizr.min.js HTTP/1.1"" 302 210 ""-"" ""Mozilla/5.0 (iPhone; CPU iPhone OS 18_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148""168",1.1.190.227,10.60.1.13,-,-,2025-05-19,10:46:53,GET,"""GET /core/assets/vendor/modernizr/modernizr.min.js HTTP/1.1""",302,210,"""-""","Mozilla/5.0 (iPhone; CPU iPhone OS 18_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
1747626413839,"1.1.190.227 10.60.1.13 - - [19/May/2025:10:46:53 +0700] ""GET /promiseapp/css/application2.css;jsessionid=DA93E585A14434992BD8FF8917978BDF?20221028 HTTP/1.1"" 200 2615 ""-"" ""Mozilla/5.0 (iPhone; CPU iPhone OS 18_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148""1253",1.1.190.227,10.60.1.13,-,-,2025-05-19,10:46:53,GET,"""GET /promiseapp/css/application2.css;jsessionid=DA93E585A14434992BD8FF8917978BDF?20221028 HTTP/1.1""",200,2615,"""-""","Mozilla/5.0 (iPhone; CPU iPhone OS 18_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
